 frequency       db(v(Vout))     cph(v(Vout))*360/2/pi
 1.25892541e+05 -4.86865303e-02 -1.58431658e+00 
 1.41253754e+05 -4.95170684e-02 -1.77752105e+00 
 1.58489319e+05 -5.05624278e-02 -1.99425412e+00 
 1.77827941e+05 -5.18780995e-02 -2.23736780e+00 
 1.99526231e+05 -5.35338663e-02 -2.51005434e+00 
 2.23872114e+05 -5.56174557e-02 -2.81588452e+00 
 2.51188643e+05 -5.82391194e-02 -3.15884936e+00 
 2.81838293e+05 -6.15373492e-02 -3.54340512e+00 
 3.16227766e+05 -6.56860168e-02 -3.97452114e+00 
 3.54813389e+05 -7.09032528e-02 -4.45773001e+00 
 3.98107171e+05 -7.74624640e-02 -4.99917888e+00 
 4.46683592e+05 -8.57059640e-02 -5.60568003e+00 
 5.01187234e+05 -9.60617174e-02 -6.28475802e+00 
 5.62341325e+05 -1.09063831e-01 -7.04468943e+00 
 6.30957344e+05 -1.25377377e-01 -7.89452921e+00 
 7.07945784e+05 -1.45828170e-01 -8.84411586e+00 
 7.94328235e+05 -1.71438032e-01 -9.90404414e+00 
 8.91250938e+05 -2.03465709e-01 -1.10855911e+01 
 1.00000000e+06 -2.43453240e-01 -1.24005768e+01 
 1.12201845e+06 -2.93276696e-01 -1.38611361e+01 
 1.25892541e+06 -3.55198853e-01 -1.54793767e+01 
 1.41253754e+06 -4.31919629e-01 -1.72668935e+01 
 1.58489319e+06 -5.26617536e-01 -1.92341149e+01 
 1.77827941e+06 -6.42972518e-01 -2.13894657e+01 
 1.99526231e+06 -7.85157450e-01 -2.37383532e+01 
 2.23872114e+06 -9.57783526e-01 -2.62820173e+01 
 2.51188643e+06 -1.16578449e+00 -2.90163378e+01 
 2.81838293e+06 -1.41422900e+00 -3.19307514e+01 
 3.16227766e+06 -1.70805967e+00 -3.50074823e+01 
 3.54813389e+06 -2.05177259e+00 -3.82213206e+01 
 3.98107171e+06 -2.44906965e+00 -4.15401468e+01 
 4.46683592e+06 -2.90253245e+00 -4.49263033e+01 
 5.01187234e+06 -3.41337396e+00 -4.83387434e+01 
 5.62341325e+06 -3.98131599e+00 -5.17357097e+01 
 6.30957344e+06 -4.60461838e+00 -5.50775491e+01 
 7.07945784e+06 -5.28025349e+00 -5.83292381e+01 
 7.94328235e+06 -6.00419058e+00 -6.14622714e+01 
 8.91250938e+06 -6.77173693e+00 -6.44557290e+01 
 1.00000000e+07 -7.57788083e+00 -6.72965226e+01 
 1.12201845e+07 -8.41759317e+00 -6.99789687e+01 
 1.25892541e+07 -9.28606250e+00 -7.25039064e+01 
 1.41253754e+07 -1.01788558e+01 -7.48775903e+01 
 1.58489319e+07 -1.10920111e+01 -7.71105441e+01 
 1.77827941e+07 -1.20220743e+01 -7.92165079e+01 
 1.99526231e+07 -1.29660959e+01 -8.12115497e+01 
 2.23872114e+07 -1.39216025e+01 -8.31133700e+01 
 2.51188643e+07 -1.48865530e+01 -8.49407990e+01 
 2.81838293e+07 -1.58592903e+01 -8.67134680e+01 
 3.16227766e+07 -1.68384925e+01 -8.84516311e+01 
 3.54813389e+07 -1.78231279e+01 -9.01761166e+01 
 3.98107171e+07 -1.88124171e+01 -9.19083884e+01 
 4.46683592e+07 -1.98058011e+01 -9.36707097e+01 
 5.01187234e+07 -2.08029190e+01 -9.54864056e+01 
 5.62341325e+07 -2.18035971e+01 -9.73802347e+01 
 6.30957344e+07 -2.28078532e+01 -9.93788791e+01 
 7.07945784e+07 -2.38159238e+01 -1.01511561e+02 
 7.94328235e+07 -2.48283275e+01 -1.03810760e+02 
 8.91250938e+07 -2.58459706e+01 -1.06312943e+02 
 1.00000000e+08 -2.68702946e+01 -1.09059135e+02 
 1.12201845e+08 -2.79034274e+01 -1.12095216e+02 
 1.25892541e+08 -2.89482752e+01 -1.15472068e+02 
 1.41253754e+08 -3.00085153e+01 -1.19246213e+02 
 1.58489319e+08 -3.10885343e+01 -1.23481634e+02 
 1.77827941e+08 -3.21933956e+01 -1.28253059e+02 
 1.99526231e+08 -3.33288598e+01 -1.33650672e+02 
 2.23872114e+08 -3.45014184e+01 -1.39786422e+02 
 2.51188643e+08 -3.57182583e+01 -1.46802246e+02 
 2.81838293e+08 -3.69869548e+01 -1.54880245e+02 
 3.16227766e+08 -3.83144539e+01 -1.64254375e+02 
 3.54813389e+08 -3.97045593e+01 -1.75221230e+02 
