 v-sweep         v(V1)           v(V2)           v(Vout)        
 8.30000000e-02  8.30000000e-02  0.00000000e+00  6.90801061e-01 
 8.40000000e-02  8.40000000e-02  0.00000000e+00  6.90802963e-01 
 8.50000000e-02  8.50000000e-02  0.00000000e+00  6.90803932e-01 
 8.60000000e-02  8.60000000e-02  0.00000000e+00  6.90805956e-01 
 8.70000000e-02  8.70000000e-02  0.00000000e+00  6.90807508e-01 
 8.80000000e-02  8.80000000e-02  0.00000000e+00  6.90808776e-01 
 8.90000000e-02  8.90000000e-02  0.00000000e+00  6.90811251e-01 
 9.00000000e-02  9.00000000e-02  0.00000000e+00  6.90812764e-01 
 9.10000000e-02  9.10000000e-02  0.00000000e+00  6.90815132e-01 
 9.20000000e-02  9.20000000e-02  0.00000000e+00  6.90816578e-01 
 9.30000000e-02  9.30000000e-02  0.00000000e+00  6.90818541e-01 
 9.40000000e-02  9.40000000e-02  0.00000000e+00  6.90820500e-01 
 9.50000000e-02  9.50000000e-02  0.00000000e+00  6.90822179e-01 
 9.60000000e-02  9.60000000e-02  0.00000000e+00  6.90824479e-01 
 9.70000000e-02  9.70000000e-02  0.00000000e+00  6.90826868e-01 
 9.80000000e-02  9.80000000e-02  0.00000000e+00  6.90828695e-01 
 9.90000000e-02  9.90000000e-02  0.00000000e+00  6.90831139e-01 
 1.00000000e-01  1.00000000e-01  0.00000000e+00  6.90833999e-01 
 1.01000000e-01  1.01000000e-01  0.00000000e+00  6.90835962e-01 
 1.02000000e-01  1.02000000e-01  0.00000000e+00  6.90838639e-01 
 1.03000000e-01  1.03000000e-01  0.00000000e+00  6.90840753e-01 
 1.04000000e-01  1.04000000e-01  0.00000000e+00  6.90843649e-01 
 1.05000000e-01  1.05000000e-01  0.00000000e+00  6.90846184e-01 
 1.06000000e-01  1.06000000e-01  0.00000000e+00  6.90848878e-01 
 1.07000000e-01  1.07000000e-01  0.00000000e+00  6.90851737e-01 
 1.08000000e-01  1.08000000e-01  0.00000000e+00  6.90854406e-01 
 1.09000000e-01  1.09000000e-01  0.00000000e+00  6.90857193e-01 
 1.10000000e-01  1.10000000e-01  0.00000000e+00  6.90860885e-01 
 1.11000000e-01  1.11000000e-01  0.00000000e+00  6.90864017e-01 
 1.12000000e-01  1.12000000e-01  0.00000000e+00  6.90866733e-01 
 1.13000000e-01  1.13000000e-01  0.00000000e+00  6.90870596e-01 
 1.14000000e-01  1.14000000e-01  0.00000000e+00  6.90874090e-01 
 1.15000000e-01  1.15000000e-01  0.00000000e+00  6.90877020e-01 
 1.16000000e-01  1.16000000e-01  0.00000000e+00  6.90880976e-01 
 1.17000000e-01  1.17000000e-01  0.00000000e+00  6.90884562e-01 
 1.18000000e-01  1.18000000e-01  0.00000000e+00  6.90887802e-01 
 1.19000000e-01  1.19000000e-01  0.00000000e+00  6.90892271e-01 
 1.20000000e-01  1.20000000e-01  0.00000000e+00  6.90896611e-01 
 1.21000000e-01  1.21000000e-01  0.00000000e+00  6.90900873e-01 
 1.22000000e-01  1.22000000e-01  0.00000000e+00  6.90904779e-01 
 1.23000000e-01  1.23000000e-01  0.00000000e+00  6.90909000e-01 
 1.24000000e-01  1.24000000e-01  0.00000000e+00  6.90913645e-01 
 1.25000000e-01  1.25000000e-01  0.00000000e+00  6.90917654e-01 
 1.26000000e-01  1.26000000e-01  0.00000000e+00  6.90922492e-01 
 1.27000000e-01  1.27000000e-01  0.00000000e+00  6.90927773e-01 
 1.28000000e-01  1.28000000e-01  0.00000000e+00  6.90932340e-01 
 1.29000000e-01  1.29000000e-01  0.00000000e+00  6.90937558e-01 
 1.30000000e-01  1.30000000e-01  0.00000000e+00  6.90942517e-01 
 1.31000000e-01  1.31000000e-01  0.00000000e+00  6.90947942e-01 
 1.32000000e-01  1.32000000e-01  0.00000000e+00  6.90953947e-01 
 1.33000000e-01  1.33000000e-01  0.00000000e+00  6.90959417e-01 
 1.34000000e-01  1.34000000e-01  0.00000000e+00  6.90965054e-01 
 1.35000000e-01  1.35000000e-01  0.00000000e+00  6.90970615e-01 
 1.36000000e-01  1.36000000e-01  0.00000000e+00  6.90977405e-01 
 1.37000000e-01  1.37000000e-01  0.00000000e+00  6.90983029e-01 
 1.38000000e-01  1.38000000e-01  0.00000000e+00  6.90989864e-01 
 1.39000000e-01  1.39000000e-01  0.00000000e+00  6.90996807e-01 
 1.40000000e-01  1.40000000e-01  0.00000000e+00  6.91003154e-01 
 1.41000000e-01  1.41000000e-01  0.00000000e+00  6.91010314e-01 
 1.42000000e-01  1.42000000e-01  0.00000000e+00  6.91017649e-01 
 1.43000000e-01  1.43000000e-01  0.00000000e+00  6.91025250e-01 
 1.44000000e-01  1.44000000e-01  0.00000000e+00  6.91032644e-01 
 1.45000000e-01  1.45000000e-01  0.00000000e+00  6.91040594e-01 
 1.46000000e-01  1.46000000e-01  0.00000000e+00  6.91048119e-01 
 1.47000000e-01  1.47000000e-01  0.00000000e+00  6.91056469e-01 
 1.48000000e-01  1.48000000e-01  0.00000000e+00  6.91064906e-01 
 1.49000000e-01  1.49000000e-01  0.00000000e+00  6.91073758e-01 
 1.50000000e-01  1.50000000e-01  0.00000000e+00  6.91082986e-01 
 1.51000000e-01  1.51000000e-01  0.00000000e+00  6.91091732e-01 
 1.52000000e-01  1.52000000e-01  0.00000000e+00  6.91101529e-01 
 1.53000000e-01  1.53000000e-01  0.00000000e+00  6.91110802e-01 
 1.54000000e-01  1.54000000e-01  0.00000000e+00  6.91120892e-01 
 1.55000000e-01  1.55000000e-01  0.00000000e+00  6.91131171e-01 
 1.56000000e-01  1.56000000e-01  0.00000000e+00  6.91141649e-01 
 1.57000000e-01  1.57000000e-01  0.00000000e+00  6.91152195e-01 
 1.58000000e-01  1.58000000e-01  0.00000000e+00  6.91162974e-01 
 1.59000000e-01  1.59000000e-01  0.00000000e+00  6.91174741e-01 
 1.60000000e-01  1.60000000e-01  0.00000000e+00  6.91186223e-01 
 1.61000000e-01  1.61000000e-01  0.00000000e+00  6.91198540e-01 
 1.62000000e-01  1.62000000e-01  0.00000000e+00  6.91210437e-01 
 1.63000000e-01  1.63000000e-01  0.00000000e+00  6.91223127e-01 
 1.64000000e-01  1.64000000e-01  0.00000000e+00  6.91236162e-01 
 1.65000000e-01  1.65000000e-01  0.00000000e+00  6.91249569e-01 
 1.66000000e-01  1.66000000e-01  0.00000000e+00  6.91263201e-01 
 1.67000000e-01  1.67000000e-01  0.00000000e+00  6.91276845e-01 
 1.68000000e-01  1.68000000e-01  0.00000000e+00  6.91291438e-01 
 1.69000000e-01  1.69000000e-01  0.00000000e+00  6.91306327e-01 
 1.70000000e-01  1.70000000e-01  0.00000000e+00  6.91321474e-01 
 1.71000000e-01  1.71000000e-01  0.00000000e+00  6.91337124e-01 
 1.72000000e-01  1.72000000e-01  0.00000000e+00  6.91353003e-01 
 1.73000000e-01  1.73000000e-01  0.00000000e+00  6.91369678e-01 
 1.74000000e-01  1.74000000e-01  0.00000000e+00  6.91386892e-01 
 1.75000000e-01  1.75000000e-01  0.00000000e+00  6.91403757e-01 
 1.76000000e-01  1.76000000e-01  0.00000000e+00  6.91422432e-01 
 1.77000000e-01  1.77000000e-01  0.00000000e+00  6.91440403e-01 
 1.78000000e-01  1.78000000e-01  0.00000000e+00  6.91459025e-01 
 1.79000000e-01  1.79000000e-01  0.00000000e+00  6.91478402e-01 
 1.80000000e-01  1.80000000e-01  0.00000000e+00  6.91498683e-01 
 1.81000000e-01  1.81000000e-01  0.00000000e+00  6.91518545e-01 
 1.82000000e-01  1.82000000e-01  0.00000000e+00  6.91539793e-01 
 1.83000000e-01  1.83000000e-01  0.00000000e+00  6.91561500e-01 
 1.84000000e-01  1.84000000e-01  0.00000000e+00  6.91583023e-01 
 1.85000000e-01  1.85000000e-01  0.00000000e+00  6.91605797e-01 
 1.86000000e-01  1.86000000e-01  0.00000000e+00  6.91629756e-01 
 1.87000000e-01  1.87000000e-01  0.00000000e+00  6.91653359e-01 
 1.88000000e-01  1.88000000e-01  0.00000000e+00  6.91678488e-01 
 1.89000000e-01  1.89000000e-01  0.00000000e+00  6.91703409e-01 
 1.90000000e-01  1.90000000e-01  0.00000000e+00  6.91729594e-01 
 1.91000000e-01  1.91000000e-01  0.00000000e+00  6.91755766e-01 
 1.92000000e-01  1.92000000e-01  0.00000000e+00  6.91783256e-01 
 1.93000000e-01  1.93000000e-01  0.00000000e+00  6.91811386e-01 
