 frequency       Tmag            Tphase         
 1.00000000e+00  6.75515329e+01 -9.96954521e-03 
 1.12201845e+00  6.75515287e+01 -1.11860083e-02 
 1.25892541e+00  6.75515312e+01 -1.25509113e-02 
 1.41253754e+00  6.75515353e+01 -1.40823608e-02 
 1.58489319e+00  6.75515352e+01 -1.58006687e-02 
 1.77827941e+00  6.75515360e+01 -1.77286434e-02 
 1.99526231e+00  6.75515258e+01 -1.98918419e-02 
 2.23872114e+00  6.75515282e+01 -2.23190199e-02 
 2.51188643e+00  6.75515322e+01 -2.50423640e-02 
 2.81838293e+00  6.75515320e+01 -2.80979941e-02 
 3.16227766e+00  6.75515259e+01 -3.15264459e-02 
 3.54813389e+00  6.75515297e+01 -3.53732703e-02 
 3.98107171e+00  6.75515326e+01 -3.96894761e-02 
 4.46683592e+00  6.75515329e+01 -4.45323270e-02 
 5.01187234e+00  6.75515272e+01 -4.99660612e-02 
 5.62341325e+00  6.75515297e+01 -5.60628607e-02 
 6.30957344e+00  6.75515261e+01 -6.29035409e-02 
 7.07945784e+00  6.75515248e+01 -7.05789264e-02 
 7.94328235e+00  6.75515231e+01 -7.91908476e-02 
 8.91250938e+00  6.75515218e+01 -8.88535863e-02 
 1.00000000e+01  6.75515199e+01 -9.96953525e-02 
 1.12201845e+01  6.75515148e+01 -1.11859974e-01 
 1.25892541e+01  6.75515072e+01 -1.25508866e-01 
 1.41253754e+01  6.75515010e+01 -1.40823192e-01 
 1.58489319e+01  6.75514975e+01 -1.58006199e-01 
 1.77827941e+01  6.75514881e+01 -1.77285737e-01 
 1.99526231e+01  6.75514815e+01 -1.98917801e-01 
 2.23872114e+01  6.75514655e+01 -2.23189146e-01 
 2.51188643e+01  6.75514467e+01 -2.50421965e-01 
 2.81838293e+01  6.75514253e+01 -2.80977603e-01 
 3.16227766e+01  6.75514049e+01 -3.15261644e-01 
 3.54813389e+01  6.75513625e+01 -3.53728117e-01 
 3.98107171e+01  6.75513213e+01 -3.96888246e-01 
 4.46683592e+01  6.75512732e+01 -4.45314393e-01 
 5.01187234e+01  6.75512045e+01 -4.99648314e-01 
 5.62341325e+01  6.75511156e+01 -5.60610734e-01 
 6.30957344e+01  6.75510088e+01 -6.29010452e-01 
 7.07945784e+01  6.75508750e+01 -7.05754131e-01 
 7.94328235e+01  6.75507002e+01 -7.91858408e-01 
 8.91250938e+01  6.75504896e+01 -8.88465531e-01 
 1.00000000e+02  6.75502184e+01 -9.96853939e-01 
 1.12201845e+02  6.75498781e+01 -1.11845930e+00 
 1.25892541e+02  6.75494471e+01 -1.25489034e+00 
 1.41253754e+02  6.75489062e+01 -1.40795157e+00 
 1.58489319e+02  6.75482282e+01 -1.57966549e+00 
 1.77827941e+02  6.75473746e+01 -1.77229776e+00 
 1.99526231e+02  6.75463042e+01 -1.98838779e+00 
 2.23872114e+02  6.75449507e+01 -2.23077599e+00 
 2.51188643e+02  6.75432406e+01 -2.50264262e+00 
 2.81838293e+02  6.75410997e+01 -2.80754996e+00 
 3.16227766e+02  6.75384044e+01 -3.14947124e+00 
 3.54813389e+02  6.75350098e+01 -3.53284365e+00 
 3.98107171e+02  6.75307389e+01 -3.96261535e+00 
 4.46683592e+02  6.75253772e+01 -4.44429781e+00 
 5.01187234e+02  6.75186287e+01 -4.98399933e+00 
 5.62341325e+02  6.75101507e+01 -5.58849761e+00 
 6.30957344e+02  6.74994991e+01 -6.26526578e+00 
 7.07945784e+02  6.74861285e+01 -7.02252069e+00 
 7.94328235e+02  6.74693547e+01 -7.86923786e+00 
 8.91250938e+02  6.74483299e+01 -8.81515403e+00 
 1.00000000e+03  6.74219956e+01 -9.87072070e+00 
 1.12201845e+03  6.73890811e+01 -1.10470647e+01 
 1.25892541e+03  6.73479874e+01 -1.23557581e+01 
 1.41253754e+03  6.72968017e+01 -1.38086499e+01 
 1.58489319e+03  6.72332170e+01 -1.54174751e+01 
 1.77827941e+03  6.71544638e+01 -1.71933082e+01 
 1.99526231e+03  6.70573022e+01 -1.91459321e+01 
 2.23872114e+03  6.69380025e+01 -2.12829869e+01 
 2.51188643e+03  6.67923250e+01 -2.36088513e+01 
 2.81838293e+03  6.66156160e+01 -2.61235530e+01 
 3.16227766e+03  6.64029117e+01 -2.88215227e+01 
 3.54813389e+03  6.61491435e+01 -3.16905458e+01 
 3.98107171e+03  6.58494102e+01 -3.47110571e+01 
 4.46683592e+03  6.54992947e+01 -3.78559492e+01 
 5.01187234e+03  6.50952180e+01 -4.10912110e+01 
 5.62341325e+03  6.46347624e+01 -4.43774088e+01 
 6.30957344e+03  6.41168915e+01 -4.76718108e+01 
 7.07945784e+03  6.35420815e+01 -5.09312591e+01 
 7.94328235e+03  6.29122409e+01 -5.41147235e+01 
 8.91250938e+03  6.22305499e+01 -5.71859665e+01 
 1.00000000e+04  6.15011459e+01 -6.01151440e+01 
 1.12201845e+04  6.07287872e+01 -6.28797940e+01 
 1.25892541e+04  5.99185168e+01 -6.54649988e+01 
 1.41253754e+04  5.90753645e+01 -6.78628164e+01 
 1.58489319e+04  5.82041197e+01 -7.00712672e+01 
 1.77827941e+04  5.73091851e+01 -7.20932373e+01 
 1.99526231e+04  5.63944919e+01 -7.39352773e+01 
 2.23872114e+04  5.54634681e+01 -7.56064534e+01 
 2.51188643e+04  5.45190495e+01 -7.71174721e+01 
 2.81838293e+04  5.35637120e+01 -7.84798895e+01 
